,Unnamed: 0,ev_city,ev_country,ev_state,latitude,longitude
905,15925,CHURCH FENTON  ,UK,,53.82509599999999,-1.221017
906,15926,TUCSON         ,USA,AZ,32.2217429,-110.926479
907,15938,"Bathurst, Australia",AS,,-33.4176529,149.5810314
908,15965,AMPORT,UK,,51.19767580000001,-1.5650194
909,15970,ABERDEEN       ,USA,SD,45.4646985,-98.4864829
910,15976,FRESNO         ,USA,CA,36.7468422,-119.7725868
911,15987,PHOENIX        ,USA,AZ,33.4483771,-112.0740373
912,15999,,JM,,18.7756318,100.7730417
913,16010,DUTCH HARBOR   ,USA,AK,53.88980000000001,-166.5422
914,16011,SIOUX FALLS    ,USA,SD,43.5445959,-96.73110340000001
915,16027,Luxembourg,LU,,49.61162100000001,6.1319346
916,16039,TULSA          ,USA,OK,36.1539816,-95.99277500000001
917,16063,Mazamitla,MX,,19.9165757,-103.0212924
918,16080,SHANGHAI       ,CH,,34.0848366,115.3243971
919,16091,"HALAWA,MOLOKAI ",USA,HI,21.1597222,-156.7422221
920,16104,DENVER         ,USA,CO,39.7392358,-104.990251
921,16123,QUETZALTENANGO ,GT,,14.8520705,-91.5305465
922,16130,ST. VINCENT    ,SP,,7.2508087,80.3460699
923,16132,ARCADIA        ,USA,FL,27.2158826,-81.8584164
924,16135,,HK,,18.7756318,100.7730417
925,16141,St Louis,USA,MO,38.6270025,-90.19940419999999
926,16144,AUSTIN         ,USA,TX,30.267153,-97.7430608
927,16154,SANTA ANA      ,USA,CA,33.7455731,-117.8678338
928,16184,WINTHROP       ,USA,WA,48.4779232,-120.1861956
929,16209,Yverdon,SZ,,46.7784736,6.641183
930,16213,INNSBRUCK,AU,,47.0203769,11.4359803
931,16264,RICHMOND       ,USA,VA,37.5407246,-77.4360481
932,16299,Guipuzcoa,SP,,,
933,16310,CONCEPCION     ,AR,,-28.6833305,-65.40000150000002
934,16331,BEMIDJI        ,USA,MN,47.4875361,-94.8858492
935,16336,PORTLAND       ,USA,ME,43.66147100000001,-70.2553259
936,16346,AUSTIN         ,USA,TX,30.267153,-97.7430608
937,16374,SABINE PASS    ,USA,TX,29.7335518,-93.89433269999999
938,16379,Glasgow,UK,,55.864237,-4.251806
939,16400,ATLANTA        ,USA,GA,33.7489954,-84.3879824
940,16435,Warszawa,PL,,52.2296756,21.0122287
941,16464,SCAMMON BAY    ,USA,AK,61.84277780000001,-165.5816667
942,16471,WEST MIFFLIN   ,USA,PA,40.3634026,-79.86643749999999
943,16473,TWIN HILLS     ,USA,AK,59.07916669999999,-160.275
944,16479,CHATHAM        ,USA,AK,57.51527780000001,-134.9436111
945,16485,MINNEAPOLIS    ,USA,MN,44.977753,-93.2650108
946,16487,CHIGUAO,VE,,6.8209268,-63.16088
947,16496,NOVA SCOTIA   ,CA,,44.68198659999999,-63.744311
948,16511,LA PALMA,PM,,39.5696005,2.6501603
949,16537,Gobierno,AR,,-34.7275731,-58.79957330000001
950,16562,FLUSHING       ,USA,NY,40.7674987,-73.833079
951,16587,"Kedaranath, India",IN,,30.7346267,79.0668943
952,16620,Port Harcourt,NI,,4.815554,7.0498442
953,16641,CRESCENT LAKE  ,USA,AK,60.3686246,-152.9287511
954,16653,PORTLAND       ,USA,OR,45.5230622,-122.6764816
955,16661,OCALA          ,USA,FL,29.1871986,-82.14009229999999
956,16669,Guatemala City,GT,,14.6349149,-90.5068824
957,16699,TATITLEK       ,USA,AK,60.8671301,-146.6774403
958,16712,SEATTLE        ,USA,WA,47.6062095,-122.3320708
959,16800,"Auckland, New Zealand",NZ,,-36.8484597,174.7633315
960,16816,EUGENE ISLAND  ,,GM,29.763832,-93.0882046
961,16822,SNOWVILLE      ,USA,UT,41.9654754,-112.7097012
