,ev_city,ev_country,ev_state,latitude,longitude
38111,INDIANAPOLIS   ,USA,IN,,
38217,TAMPICO        ,MX,,,
38222,Cerro Azul,EC,,,
38227,GIBBONSVILLE   ,USA,ID,,
38229,BOSTON         ,USA,MA,,
38236,OKLAHOMA CITY  ,USA,OK,,
38263,TESLIN LAKE,CA,BC,,
38273,MARTINSVILLE   ,USA,OH,,
38277,Rome,IT,,,
38282,Berlin,GE,,,
38285,San Salvador,ES,,,
38306,BALTIMORE      ,USA,MD,,
38314,GAINESVILLE    ,USA,FL,,
38325,ATHENS,GR,,,
38328,EUCEMBUNE      ,AS,,,
38329,SHIP SHOAL 225 ,,GM,,
38365,ILIAMNA        ,USA,AK,,
38366,STONY RIVER    ,USA,AK,,
38369,CHALLIS        ,USA,ID,,
38396,HANA           ,USA,HI,,
38397,PORT HEIDEN    ,USA,AK,,
38404,ENSENADA       ,MX,,,
38422,Birmingham,UK,,,
38442,TALLAHASSEE    ,USA,FL,,
38475,BOGOTA         ,CO,,,
38478,KENAI          ,USA,AK,,
38480,Amsterdam,NL,,,
38484,New South Wales,AS,,,
38496,ROGERS         ,USA,AR,,
38538,BOISE          ,USA,ID,,
38546,TUCUTI ,PM,,,
38550,FAIRBANKS      ,USA,AK,,
38561,Queensland,AS,,,
38580,MOZAMBIQUE-SA  ,MZ,,,
38581,ANCHORAGE      ,USA,AK,,
38584,ASHEVELLE      ,USA,NC,,
38587,CHEVAK         ,USA,AK,,
38588,SARANAC LAKE   ,USA,NY,,
38620,MIAMI          ,USA,FL,,
38628,ISLA VERDE     ,,PR,,
38647,Meteropolitana,CI,,,
38675,LITTLE ROCK    ,USA,AR,,
38691,BISMARCK       ,USA,ND,,
38705,AKIAK          ,USA,AK,,
38710,ATLANTIC OCEAN ,,AO,,
38754,STRATFORD      ,USA,CT,,
38759,Kuala Lampur,MY,,,
38788,ANCHORAGE      ,USA,AK,,
38796,LAS ANIMAS     ,USA,CO,,
38801,LAFAYETTE      ,USA,IN,,
38840,NUNAPITCHUK    ,USA,AK,,
38918,WALLA WALLA    ,USA,WA,,
38923,JACKSONVILLE   ,USA,FL,,
38926,DALLAS         ,USA,TX,,
38927,CEDAR RAPIDS   ,USA,IA,,
38928,Reinhardtsdorf-Schöna,GE,,,
38963,VIEQUES        ,,PR,,
38970,STIBNITE       ,USA,ID,,
38980,Dannevirke,NZ,,,
39016,WEST PALM BEACH,USA,FL,,
39030,ATLANTIC CITY  ,USA,NJ,,
39061,Gurupi,BR,,,
39101,DETROIT        ,USA,MI,,
39106,ALBUQUERQUE    ,USA,NM,,
39121,COPPERHILL     ,USA,TN,,
39126,NASHVILLE      ,USA,TN,,
39171,Bielefeld,GE,,,
39232,NIGHTMUTE      ,USA,AK,,
39264,TROY           ,USA,AL,,
39277,ALCOVA         ,USA,WY,,
39311,KOTLIK         ,USA,AK,,
39368,CLEVELAND      ,USA,OH,,
39415,KEY WEST       ,USA,FL,,
39451,JACKSONVILLE   ,USA,FL,,
39456,BRIDGETOWN     ,BF,,,
39465,BUCKEYE        ,USA,AZ,,
39475,Warsaw,PL,,,
39519,HICKORY        ,USA,NC,,
39525,St. Ferdinand,CA,,,
39558,Casarrubios del Monte,SP,,,
39562,HIBBING        ,USA,MN,,
39599,BLOUNTVILLE    ,USA,TN,,
39617,GUANTANAMO BAY ,CU,,,
39662,NEW BEDFORD    ,USA,MA,,
39678,NAPLES         ,USA,FL,,
39689,KANSAS CITY    ,USA,MO,,
39690,Makung Island,TW,,,
39719,ANCHORAGE      ,USA,AK,,
39730,NEW YORK       ,USA,NY,,
39763,DALLAS         ,USA,TX,,
39796,JUNEAU         ,USA,AK,,
39807,MIAMI          ,USA,FL,,
39811,NEWARK         ,USA,NJ,,
39819,FAJARDO        ,,PR,,
39825,CHARLOTTE      ,USA,NC,,
39834,Kemble,UK,,,
39842,JAMAICA        ,USA,NY,,
39846,CAPE GIRARDEAU ,USA,MO,,
39850,SEA BRIGHT     ,USA,NJ,,
39864,ST. MARY'S     ,USA,AK,,
39883,Mussoorie,IN,,,
39912,CHILLICOTHE    ,USA,OH,,
39923,HYANNIS        ,USA,NE,,
39944,NEAR  INYOKERN ,USA,CA,,
39965,TUNTUTULIAK    ,USA,AK,,
39967,Washington,USA,DC,,
39980,LAS VEGAS      ,USA,NV,,
39997,POLLOCKVILLE   ,USA,NC,,
40012,MT. TORBET     ,USA,AK,,
40027,MISSOULA       ,USA,MT,,
40096,HARVEY         ,USA,LA,,
40117,WASHINGTON     ,USA,DC,,
40124,GROTTOES       ,USA,VA,,
40152,Juuka,FI,,,
40159,FILITHEYO      ,MV,,,
40168,LANAI          ,USA,HI,,
40181,Veghel,NL,,,
40211,,IV,,,
40245,Rumbek,SU,,,
40268,WRANGELL       ,USA,AK,,
40274,EC 270,USA,GM,,
40294,,CB,,,
40319,WHITING        ,USA,NJ,,
40334,CLEVELAND      ,USA,OH,,
40351,EMMONAK        ,USA,AK,,
40372,FORT LAUDERDALE,USA,FL,,
40397,SPOKANE        ,USA,WA,,
40404,MONROE         ,USA,WI,,
40435,"Lagunillas, Jalisco",MX,,,
40455,MIAMI          ,USA,FL,,
40469,Tangshan,CH,,,
40477,"Santiago Atittlán, Solola",GT,,,
40493,HELENA         ,USA,MT,,
40512,BELLEVUE       ,USA,NE,,
40519,Sao Paulo,BR,,,
40542,PINE BLUFF     ,USA,AR,,
40548,GULF-OF-MEXICO ,,GM,,
40572,BRINKLEY       ,USA,AR,,
40580,WRANGELL       ,USA,AK,,
40595,CHEVAK         ,USA,AK,,
40598,NUIQSUT        ,USA,AK,,
40633,KIRKSVILLE     ,USA,MO,,
40653,ATLANTA        ,USA,GA,,
40677,MT. HOLLY      ,USA,VA,,
40694,Kansas City,USA,MO,,
40704,SAN FRANCISCO  ,USA,CA,,
40730,KEMMERER       ,USA,WY,,
40768,TOGIAK         ,USA,AK,,
40777,"Sarayacu, Pastaza",EC,,,
40800,HUTCHINSON     ,USA,KS,,
40817,GULF OF MEXICO ,,GM,,
40823,BULCHITNA LAKE ,USA,AK,,
40826,PINEVILLE      ,USA,LA,,
40829,BAKER          ,USA,OR,,
40842,LAS VEGAS      ,USA,NV,,
40854,SAN JUANITO    ,MX,,,
40880,"Kojonup, Australia",AS,,,
40884,ALBANY         ,USA,NY,,
40895,LOWER LOON     ,USA,ID,,
40898,Mindelheim,GE,UN,,
40901,WHITE MOUNTAIN ,USA,AK,,
40910,LOUISVILLE     ,USA,KY,,
40912,HUNGRY HORSE   ,USA,MT,,
40964,CAMERON        ,USA,MO,,
41005,Pohnpei Island,FM,,,
41007,ANIAK          ,USA,AK,,
41028,KASSAN BAY     ,USA,AK,,
41031,COUNCIL        ,USA,ID,,
41037,GREEN BAY      ,USA,WI,,
41041,GULF OF MEXICO ,,GM,,
41061,STELLA MARIS   ,BF,,,
41069,Goma,CF,,,
41080,QUEENS CANNERY ,USA,AK,,
41100,PITTSBURGH     ,USA,PA,,
41115,CHICAGO        ,USA,IL,,
41137,SPOKANE        ,USA,WA,,
41157,ELKO           ,USA,NV,,
41173,PHOENIX        ,USA,AZ,,
41198,SOTO CANO,HO,,,
41213,BURBANK,USA,CA,,
41218,WAIKOLOA       ,USA,HI,,
41245,Brussels,BE,,,
41251,COLUMBUS       ,USA,OH,,
41306,UNIONTOWN,USA,OH,,
41333,ANCHORAGE      ,USA,AK,,
41358,PHOENIX        ,USA,AZ,,
41376,LA HABRA       ,USA,CA,,
41383,JAMAICA        ,USA,NY,,
41400,PUCHONG MALAYSI,MY,,,
41442,MORAN          ,SP,,,
41454,Khartoum,SU,,,
41468,HANA           ,USA,HI,,
41492,ORLANDO        ,USA,FL,,
41495,NURNBERG/GERF,GE,,,
41513,BARROW         ,USA,AK,,
41548,ISLA VERDE     ,,PR,,
41551,Prince Edward,CA,,,
41572,KOBLENZ        ,GE,,,
41581,YPSILANTI      ,USA,MI,,
41582,CINCINNATI     ,USA,OH,,
